JS      JavaScript
API     Application Programming interfaces
SPA     Single Page Application
SKD     Software Developer Kits
I/O     Input/Output 
REST    Represenrational State Transfer
SOAP    Simple Object Access Protocol
CLI     Command Line Interface
EMS     Engine Management System
POSIX   (The) Portable Operating Interface 
fs      file system
fsp     file system promises
CJS     commonJs
HTTP    HyperText Transfer Protocol
HTTPS   HyperText Transfer Protocol Secure
MB      Mega Byte
NPM     Node Package Manager
SoC     Separation of Concerns
CPU     Central Processing Unit
||      or
JSON    JavaScript Object Notation
JSON    JavaScript Object Notation
rss     resident set size
